,id,intitule,description,dateCreation,dateActualisation,origineOffre,romeCode,appellationlibelle,typeContrat,salaire,dureeTravailLibelleConverti,qualificationLibelle,secteurActiviteLibelle,langues,formations,permis,latitude,longitude,Departement,Ville,intitule_clean
241,9272081,data analyst,"premier acteur français du marketing digital, solocal est le premier partenaire de toutes les entreprises locales, que ce soit des eti, tpe, pme, mais aussi des grandes enseignes à réseaux ou des collectivités. sa mission : dynamiser la vie locale.
chaque jour, solocal conseille 293 000 entreprises clientes présentes partout en france et les accompagne pour booster leur activité. solocal travaille à révéler le potentiel de toutes les entreprises en les connectant à leurs clients grâce à des services digitaux innovants (présence relationnelle avec une gamme d'offres connect, site internet et sites de e-commerces, publicité digitale) et qu'elles peuvent piloter en toute autonomie via l'app solocal manager. solocal se tient également aux côtés des internautes et mobinautes pour leur faire vivre la meilleure expérience digitale avec pagesjaunes et ooreka.
le groupe met ainsi à la disposition des professionnels et du grand public des services à très fortes audiences sur ses propres médias (21 millions de vu/mois), de la data géolocalisée, des plateformes technologiques évolutives, une couverture commerciale unique en france, des partenariats privilégiés avec les acteurs du numérique comme les gafam. engagé dans une stratégie sociétale et environnementale depuis 2013, solocal adhère aux objectifs de développement durable des nations unies et est certifié ecovadis et gaïa ethifinance avec une note de 80/100.
 
finalité du poste :
rattaché(e) à l'équipe connaissance client et au sein de la direction marketing & produit groupe, le data analyst senior h/f a pour principale mission de développer la connaissance de nos clients et prospects et ainsi produire des leviers data directement actionnables pour développer notre parc et sa valeur, et éclairer la stratégie produit, relationnelle et commerciale de solocal.
avec une vision orientée business et client, le data analyst senior est un contributeur majeur de la définition et de la mise en œuvre de la stratégie relationnelle & commerciale de solocal.
missions principales :

·       mener les analyses nécessaires à l'optimisation des actions d'acquisition de nouveaux clients et de développement de valeur de notre parc à destination de nos vendeurs terrain et télévente : scores de potentiel, appétence produit, bilans de campagne, analyse de la multi-détention  

·       accompagner la stratégie produit par des analyses de compréhension d'usage de nos solutions ou de market sizing

·       construire de nouveaux indicateurs clés et mettre en place des dashboards automatisés de pilotage

·       contribuer activement à la structuration de la vision 360° des clients et prospects du groupe en collaboration avec les équipes data : exploration de nouvelles data en vue d'ajouter de nouvelles dimensions, rédaction de spécifications avec le po de la squad et recette data
 
profil :
-       titulaire d'une formation supérieure en statistiques / econométrie / informatique décisionnelle
-       expérience d'au moins 5 ans dans l'analyse de données marketing
-       avoir travaillé dans un business en abonnement ou dans le btb est un plus
 
compétences / aptitudes clés attendues :
-       maitrise du sql indispensable
-       excellente maitrise d'au moins un des outils/langages suivants :  sas, r, python
-       connaissance d'outils de bi ou de dataviz (idéalement power bi)
-       bonne maitrise d'excel et powerpoint
-       capacité à contrôler/questionner ses résultats
-       capacité à communiquer ses résultats de façon claire et concise (écrit/oral), et à les décliner en leviers activables
-       bon relationnel : capacité d'écoute et réactivité face aux demandes internes
-       rigueur et organisation
-       orientation business et customer centric
-       motivé(e), autonome, persévérant, proactif",2024-01-08,2024-01-08,https://candidat.pole-emploi.fr/offres/recherche/detail/9272081,E1402,Web planneur / planneuse,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.836976,2.242716,92,boulogne billancourt,data analyst
242,9262372,data analyst,"descriptif du poste:

vos missions consistent à :
assurer l'analyse des données pour comprendre leur structuration.
participez activement au travail d'extraction et de transformation de données.
recueillir, traiter et étudier les données statistiques pour produire des analyses métiers et des recommandations.
gérer les outils d analyses permettant aux décideurs internes ou aux clients de suivre l évolution de leurs sites ou produits et pouvoir anticiper les décisions.
modéliser et assurer les mises à jour régulières de la base de données

profil recherché:

vous êtes le candidat que nous recherchons si : 
- vous avez une bonne connaissance de l'outil sql 
- vous avez déjà réalisé des migrations de données 
- vous avez une aisance avec l'outil tableau ou outils similaires
- vous avez déjà réalisé des modélisations sql 
- une connaissance de l'outil cloud bigquery est un plus 
si vous avez répondu oui à tous ces points, c'est le moment démarrer l'aventure avec nous.",2024-01-08,2024-01-29,https://candidat.pole-emploi.fr/offres/recherche/detail/9262372,M1403,Data analyst,CDI,non disponible,non disponible,Cadre,Programmation informatique,non disponible,non disponible,non disponible,45.758,4.835,69,lyon,data analyst
243,167HNDZ,chargé d'analyse des données de pilotage,"dans le cadre de sa mission de service public, pôle emploi, acteur majeur du marché du travail, œuvre pour accélérer le retour à l'emploi des demandeurs d'emploi et répondre aux besoins de recrutement des entreprises. l'ensemble des équipes de pôle emploi agit au quotidien pour leur satisfaction. 

au sein de la direction,  vous aurez pour mission de :
- produire des analyses sur les données de pilotage
- mettre à disposition et analyser les informations relatives au pilotage de la performance
- concevoir et administrer les outils et applicatifs dédiés
- etre en appui des managers sur l'analyse de leur performance et la définition de cibles
- travailler  en transversalité avec les services : contrôle de gestion, maîtrise des risques, direction des opérations de son établissement.

ce poste peut constituer une étape dans un parcours alternant des emplois fonctionnels et managériaux.
dans un contexte de transformation de l'environnement de pilotage décisionnel de l'établissement, le poste a un rôle majeur dans l'analyse, la conception et le développement de ce nouvel environnement de pilotage.
il contribue aux activités du service sur l'analyse, la production, la diffusion des données de pilotage à partir de sas guide et/ou de microstrategy.
il concourt à l'accompagnement des utilisateurs dans l'exploitation des résultats et l'analyse de cause, favorisant la culture du pilotage de la performance.
le poste implique d'être à l'écoute pour prendre en compte les besoins de ces utilisateurs, ainsi que les évolutions clés des métiers du réseau de service.

formation type master spécialisé ou expérience réussie dans l'ingénierie des systèmes complexes de pilotage et dans l'analyse croisée des informations de pilotage et/ou statistiques.
excellente maîtrise de sas e-guide et de microstrategy, en particulier dans le développement de solutions sur-mesure.

compétences et appétences avérées dans la mise en œuvre des méthodologies de projets appliquées aux environnements décisionnels, à l'innovation, ainsi qu'au travail en transversalité et pluridisciplinarité.

une connaissance du modèle décisionnel sisp et des processus métier est un plus, mais peut être développée in situ.

télétravail possible jusqu'à 3 jours par semaine après 3 mois d'ancienneté.",2024-01-08,2024-02-03,https://candidat.pole-emploi.fr/offres/recherche/detail/167HNDZ,M1403,Data analyst,CDI,"Annuel de 35140,00 Euros à 35141,00 Euros sur 14 mois",Temps plein,Agent de maîtrise,Administration publique (tutelle) des activités économiques,non disponible,"[{'niveauLibelle': 'Bac+3, Bac+4 ou équivalents', 'exigence': 'E'}]",non disponible,45.883954,6.051726,74,chavanod,chargé d'analyse des données de pilotage
244,9247639,data analyst,"nous recrutons notre futur talent : un data engineer (h/f), pour notre client, bailleur social sur annecy.
 
en charge de la collecte et de l'intégration des données alimentant le si, dont vous garantissez l'intégrité et la qualité. vous collaborez avec l'administrateur fonctionnel dans le cadre des transferts de données entre l'entreprise et les institutions, afin de répondre aux obligations réglementaires. vous êtes amené(e) à collaborer avec le contrôle de gestion dans les demandes d'extractions.

vous aurez pour principales missions : 

intégration des données : 
- assurer la collecte et l'intégration des données de diverses natures, provenant de sources multiples (internes externes)
- vérifier et garantir la qualité des données qui entrent dans le si : mettre en place des contrôles de cohérence, réaliser des tests unitaires et d'intégration
- procéder aux apurements de données dans le si : gérer le cycle de vie de la donnée conformément au rgpd et aux règles appliquées au logement social
- assister l'administrateur fonctionnel dans les demandes de transferts de données entre l'entreprise et les institutions

extraction de données :
- répondre aux demandes d'extractions formulées par les directions métiers
- accompagner le contrôle de gestion dans la mise en place de tableaux de bord

gestion de la data :
- cartographier et documenter les sources de données
- contribuer à la gestion des référentiels de données
- être force de proposition auprès des métiers dans l'amélioration de la qualité de la donnée.

participation aux projets métiers nécessitant une analyse d'impacts sur les données et/ou des intégrations


contrat à pourvoir en cdi sur la base de 35 heures sur 4.5 jours. 
salaire fixe + 13.5ème mois + tickets restaurant.

venez rejoindre une belle entreprise à fortes valeurs humaines !  

  
 vous êtes issu(e) de formation supérieure en informatique et justifiez d'une expérience réussie d'au moins 2 ans, sur un poste similaire. 

maîtrise des concepts de la conception et de ta gestion de bases de données (sql/nosql)

maîtrise d'outils de gestion d'entrepôt de données type etl

connaissance de langages de programmation (c++, scala, java, python...)

connaissance des outils de gestion de flux ((kafka, flink...)

connaissance des principes de la réglementation concernant les données personnelles (rgpd)


vous correspondez au profil que nous recherchons : alors postulez et venez rejoindre une équipe dynamique et motivée ! 

pour plus d'information, vous pouvez nous joindre à l'agence.",2024-01-07,2024-01-24,https://candidat.pole-emploi.fr/offres/recherche/detail/9247639,M1403,Data analyst,CDI,"Annuel de 30000,00 Euros à 40000,00 Euros",non disponible,Agent de maîtrise,Activités des agences de travail temporaire,non disponible,non disponible,non disponible,45.901584,6.125296,74,annecy,data analyst
245,9227258,data analyst,"description du poste :
le département des hauts-de-seine souhaite développer sa capacité interne dans le traitement de la donnée. le data analyste a pour rôle d'extraire les informations et de structurer la connaissance de ces données dans le but de développer de nouveaux services, de nouvelles activités ou de nouvelles opportunités dans le service au citoyen. il est en charge de réaliser les études en lien avec les préoccupations du cœur métier. les évolutions du métier sont, à la fois technologiques avec une mise à jour constante des logiciels à la pointe, et réglementaires, avec l'obligation de respecter de nouvelles lois comme le rgpd. le data analyste valorise l'ensemble des données de la collectivité pour en faire un levier de création de valeur. il utilise notamment les données recueillies dans la bi et les si pour réaliser les nombreux tableaux de bord et indicateurs nécessaires aux différents pôles et directions. il/elle est également en charge de construire des modèles statistiques pour éclairer les services opérationnels (segmentations ou analyses prédictives).le data analyste est responsable de spécifier, organiser et planifier la mise en œuvre des activités de son périmètre, depuis les phases de conception, jusqu'à leurs déploiements en s'appuyant sur des ressources internes ou externes.
a ce titre, il est amené à intervenir de manière transversale auprès des différentes directions métier. les missions principales sont :
-communiquer avec les directions métier et analyser leurs besoins. si nécessaire, être force de proposition auprès des acteurs métier pour leur offrir des perspectives.
-développer des analyses, des traitements, des modèles et des algorithmes sur les données manipulées afin de répondre aux besoins métiers identifiés.
-extraire et structurer les données.
-analyser, explorer les données et proposer des indicateurs et des tableaux de bords.
-veiller à ce que les outils et traitements développés soient transférables aux directions métier si nécessaires.
-mener une veille technologique active et proposer des solutions
-contribuer à la cartographie des données du département et à leur fiabilisation et accessibilité.
-accompagner, réaliser, en s'appuyant sur une maîtrise des technologies certaines adaptations des outils au besoin de la collectivité (bi, dataviz, etl)
-favoriser les connexions entre les systèmes d'informations par la connaissance des données
-intervenir en conseil pour simplifier ou automatiser les échanges de données
[1. piloter, suivre et coordonner le projet
- mise en place des structures du projet (méthodes, outils de pilotage, indicateurs.)
- superviser et coordonner les différents intervenants sur le projet
- superviser la production des documents et validation des documents techniques
- piloter des actions et suivi de l'avancement
- organiser et animer des différents comités
- définir et assurer la mise en œuvre d'une politique d'infogérance applicative et mco
2. traiter les données
- extraire les données nécessaires à l'analyse (web scraping, api.)
- définir des règles de gestion de nettoyage des bases de données (formatage, suppression des doublons.)
- définir des règles de gestion de structuration des différentes bases de données entre elles
- écrire et rédiger les spécifications d'automatisation des règles de gestion à la direction des systèmes d'information ou à la maîtrise d'ouvrage
- maîtriser la qualité des données tout au long de leur traitement
- analyser les données : mettre en avant les corrélations, définir les valeurs aberrantes
- réaliser des tableaux de bord ou des outils de reporting industrialisés
- réaliser des tests statistiques sur les données
- construire et tester des modèles statistiques (régression, forêt aléatoire.)
- déterminer ou construire les variables importantes à introduire dans les modèles statistiques
- participer aux ateliers d'expression des besoins internes
- comprendre précisément les problématiques métiers et les traduire de manière analytique
- communiquer les résultats et les solutions avec les équipes métiers
- présenter les résultats des analyses grâce à des outils de data visualisation
- effectuer une veille sur les nouvelles technologies et solutions logicielles d'analyse des données
- rechercher et expérimenter de nouvelles méthodes de modélisation et d'analyse des données
- sélectionner les nouveaux outils et techniques d'analyse des données
3. technique
- développer et capitaliser une expertise dans les domaines fonctionnels et techniques autour de la bi (sap.), du dataviz (digdash), des échanges de données via l'esb/etl (talend) relevant du périmètre de l'unité, et contribuer ¿",2024-01-06,2024-01-30,https://candidat.pole-emploi.fr/offres/recherche/detail/9227258,M1403,Data analyst,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.898095,2.202314,92,nanterre,data analyst
246,167GKZX,analyste conformité,"lhh recruitment solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un(e) chargé(e) de contrôle conformité et qualité (h/f) basé à paris 17, pour une mission d'intérim de plusieurs mois renouvelable.

au sein d?un grand groupe spécialisé dans les produits optiques et les photocopieurs, vos missions seront les suivantes : 

? vous effectuez les différents contrôles de conformité et de qualité pour les activités order et contract management (activité des gestionnaires clientèles) avec les outils oracle et therefore.
? vous contrôlez que le po correspondant à la saisi et que toutes les infos du contrat /
? vous vous assurez que les commandes du client sont bien reportées dans le système
? vous vous assurez que l?avoir est justifié et bien validé par la personne habilitée en fonction des montants
? remonte les éléments résultant des différents contrôles (dans un fichier excel)
? monitor les anomalies et s?assure qu?elles sont rectifiées en lien avec les gestionnaires clientèles

? vous avez un bac +2/3 spécialité gestion/audit/comptabilité ou équivalent
? vous avez une expérience en contrôle de données ou adv
? vous savez des connaissance sur excel + oracle ou therefore serait un plus
? vous êtes rigoureux, organisé et appréciez le travail en équipe
? vous travaillez dans le respect des délais, vous faites preuve d'un esprit d?analyse et de synthèse

rémunération : 28-35k? sur 12 mois.
contrat d?intérim à pourvoir immédiatement.
localisation : paris 17",2024-01-06,2024-01-17,https://candidat.pole-emploi.fr/offres/recherche/detail/167GKZX,M1403,Data analyst,MIS,"Annuel de 28000,00 Euros à 35000,00 Euros sur 12 mois",Temps plein,Employé qualifié,Activités des agences de travail temporaire,non disponible,non disponible,non disponible,48.887515,2.304999,75,paris,analyste conformité
247,9166717,data analyst,"le groupe nrj, riche de ses 1600 collaborateurs, figure parmi les principaux groupes de médias privés français et est aujourd'hui un acteur incontournable du marché de la communication grâce à une offre globale (radio, tv, digital) et des marques fortes sur la radio (nrj, cherie fm, nostalgie, rire & chansons),  la télévision (nrj 12, cherie 25, nrj hits) et par sa filiale de diffusion towercast.l'équipe d'e-nrj, animée par la passion des nouvelles technologies, assure le déploiement des marques du groupe sur le digital. elle transpose, décline et développe quotidiennement les programmes radios et tv du groupe sur l'ensemble des supports digitaux : sites, applis, boxes, youtube...

 nrj s'engage depuis plusieurs années en faveur de l'insertion des personnes en situation de handicap. au-delà de nos différences, nous accordons la plus grande importance aux compétences et aux motivations de chacun.

 

        missions :

date de démarrage souhaitée : 01/12/2023
type de contrat : cdi
statut : cadre autonome

poste ouvert aux travailleurs en situation de handicap

rattaché(e) au directeur marketing digital vous intégrez l'équipe marketing. a ce titre vos missions seront les suivantes :

 1/ analyse et reporting :

- mise en place de toute l'activité reporting à destination des différents métiers (éditorial, marketing, direction) : recueil du besoin, définition du projet, création et mise à jour des templates personnalisés en fonction des métiers- suivi des kpi's définis par la direction- force de proposition sur l'évolution et l'enrichissement des analyses et indicateurs

2/ gestion des outils :

- recommandations sur l'évolution des outils (piano analytics, power bi) et suivi de leur mise en place- formation des équipes aux nouvelles fonctionnalités et évolutions- administration des outils au quotidien en lien avec le centre support et les consultants

3/ gestions des plans de marquage des sites et applications :

- standardisation et définition de process pour la mise en place de plans de taggage cohérents sur l'ensemble des marques- liens avec les équipes projet, techniques et consultants pour le suivi de la bonne mise en place et la recette des plans


  
 profil :
de formation bac+4/5, vous justifiez d'une expérience d'au moins 5 ans sur un poste similaire
clairement à l'aise avec les chiffres, avec un esprit d'analyse reconnu, vous êtes capable de tirer des enseignements et d'alimenter la réflexion stratégique de la direction à partir de la data brute.
vous maitrisez ou connaissez un des outils de data analyse du marché (google analytics, adobe analytics, piano analytics...). 
la connaissance d'un outil de bi (power bi, looker, tableau) est clairement un plus.



le groupe nrj a pour ambition de permettre à ses collaborateurs de s'épanouir et de progresser tout en garantissant l'égalité de traitement, la diversité et la non-discrimination",2024-01-05,2024-01-24,https://candidat.pole-emploi.fr/offres/recherche/detail/9166717,M1403,Data analyst,CDI,non disponible,non disponible,Cadre,Activités des sièges sociaux,non disponible,non disponible,non disponible,48.859,2.347,75,paris,data analyst
248,9150053,data analyst,"référence csp: 2024-1438896 
 

vous intégrerez la cellule études et statistiques, localisée au siège du sar, au sein du palais de justice historique de l'ile de la cité au 4, boulevard du palais, où il côtoie la cour de cassation ainsi que la sainte-chapelle et la conciergerie.
dans un service au plus proche de l'activité judiciaire et de son administration, vous mettrez votre savoir et vos compétences au service de ses missions en contribuant à la valorisation et à l'enrichissement du système d'information, et à l'analyse statistique des données d'activité juridictionnelle, financières et ressources humaines de la cour d'appel. vous jouerez ainsi un rôle essentiel dans l'amélioration du pilotage et des performances de l'administration au travers de la consolidation de son système d'information, son alimentation, sa valorisation et l'analyse des données relatives à son activité.
vos missions seront les suivantes : 


a.     veille sur le système d'information existant, en lien avec les applicatifs actuels et les évolutions législatives
·         intégration de nouveaux indicateurs, 
·         enrichissement à partir de sources externes, données socio-démographiques en particulier

b.      revue et veille régulières des processus d'acquisition des données et de remplissage des bases de données internes
·         développement de programmes de contrôle de cohérence
·         développement de programmes d'acquisition des données

c.     collecte des données d'activité des juridictions et des services administratifs (ressources humaines, finances)
·         coordination des remontées statistiques (cour d'appel de paris et tribunaux judiciaires du ressort)
·         contrôles de cohérence des informations transmises
·         enrichissement des bases de données internes

a.     exploitation et valorisation des données et conception / production d'outils de restitutions dédiées au pilotage
·        suivi mensuel/trimestriel/annuel de l'activité de la cour d'appel et des tribunaux judiciaires,
·        suivi mensuel/trimestriel/annuel de l'activité administrative (ressources humaines, finances),
·        analyses des tableaux d'activité judiciaire,
·        production de rapports de restitution,
·        valorisation des données au travers d'outils de data-visulisation (tableaux de bord, etc). 

les perspectives de carrière 
 intégré au sein de l'équipe du bureau des statistiques, le recrutement peut aboutir à vous voir confier la direction du bureau, soit immédiatement, soit à terme.
 le ministère de la justice comprend plusieurs services d'études statistiques (cour de cassation, ministère) permettant d'offrir des perspectives d'évolution sur la base de l'expérience acquise au sein de la cour d'appel de paris.",2024-01-05,2024-01-05,https://candidat.pole-emploi.fr/offres/recherche/detail/9150053,M1403,Data scientist,CDD,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,75,paris,data analyst
249,9130224,data analyst,"fondé en 1865 par jules jaluzot, le groupe printemps est l'un des leaders français de la mode, du luxe, de la beauté et du lifestyle, avec 16 grands magasins printemps en france, détenus et exploités en propre et 9 magasins citadium. le groupe est devenu un acteur incontournable de l'e-commerce avec place des tendances, l'e-boutique mode et beauté de référence acquise en 2013, made in design, plateforme numéro 1 en europe du design sur internet acquise en 2019 et enfin printemps.com son nouvel espace e-commerce inspirant et exclusif. pionniers du concept de grand magasin, le printemps jouit d'un patrimoine culturel et artistique exceptionnel. son navire amiral, situé boulevard haussmann à paris, en est l'expression la plus connue. inscrit à l'inventaire des monuments historiques, ce magasin emblématique a célébré ses 150 ans en 2015. le siège social du printemps se situe rue de provence, derrière le vaisseau amiral du boulevard haussmann. 
 

        1. analyse des données, définition des kpi et création de dashboards
- analyser les données des sites sur leurs différents supports (web, mobile, app) afin de matérialiser les tendances, identifier les pain-points des parcours clients et identifier les optimisations adéquates
- établir un cadrage stratégique du suivi de la performance : définition des kpis, fixation d'objectifs quanti ou quali.
- concevoir de nouveaux outils de reporting / dashboarding (via notamment le déploiement d'outil de dataviz) permettant le pilotage de l'activité
- définir et réaliser des reportings réguliers à la direction et aux différents interlocuteurs internes

2. réalisation d'études ad hoc avancées 
- piloter la réalisation d'analyses data approfondies : performances des opérations commerciales sur site, parcours clients, tunnel de conversion, support d'analyse sur les leviers d'acquisition, comportements omnicanaux... afin d'identifier les axes d'amélioration des sites et orienter la stratégie digitale (cro, ux, mise en avant d'offre, audiences...)
- contribuer à l'enrichissement de la roadmap des a/b tests avec la chef de projet cro ainsi que leur réalisation en collaboration avec les équipes projets et ux pour optimiser les parcours et les performances de nos sites. 

3. gestion de projets
- assurer la montée en compétence des équipes métiers internes sur le pilotage de leur activité via la mise en place de formations en fil rouge par niveau de maîtrise des outils de web analyse
- piloter les plans de taggage pour les nouveaux projets et suivre leur mise en oeuvre
  
 vous êtes issu·e d'une formation d'école d'ingénieur, école de commerce, mathématiques/ statistiques ou équivalent (bac + 4/5).

vous disposez d'une expérience de 3 à 5 ans minimum en tant que web analyste chez un acteur reconnu du marché (site e-commerce, agence digitale ou média). 


compétences :
- excellentes capacités d'analyse et expérience avec de multiples outils web analytics du marché (google analytics, eulerian, contentsquare, etc...) 
- expérience avec des tag management systems (google tag manager notamment)
- expérience en gestion de projets et bonnes capacités d'organisation et de priorisation ;
- expérience en javascript et connaissance des concepts internet de base (html/css) ;
- a l'aise avec les notions de confidentialité de la donnée utilisateur (rgpd appliqué à la web-analyse)
- curiosité, bonne capacité à comprendre les enjeux business et métiers et à aller chercher l'information
- un esprit d'équipe tout en ayant une appétence pour mener des projets en toute autonomie.
- très bon.ne communicant.e, à l'oral comme à l'écrit, de manière synthétique et pédagogique pour embarquer l'ensemble des équipes métiers 
- anglais courant, au regard du contexte international de l'entreprise",2024-01-05,2024-01-24,https://candidat.pole-emploi.fr/offres/recherche/detail/9130224,M1403,Data analyst,CDI,non disponible,non disponible,Cadre,Grands magasins,non disponible,non disponible,non disponible,48.877098,2.337887,75,paris,data analyst
250,9117564,data analyst,"description :
l'iscod, spécialiste de la formation en digital learning, recherche pour son entreprise partenaire, un(e) data analyst, en contrat d'apprentissage, pour préparer l'une de nos formations diplômantes reconnues par l'etat de niveau 5 à niveau 7 (bac+2, bachelor/bac+3 ou mastère/bac+5).
choisissez l'alternance nouvelle génération avec l'iscod !
missions :
vous réaliserez les missions suivantes :
-
a partir des cost models (modèles de coût) existants et des méthodologies de calcul déjà disponibles dans les outils digitaux (e-costing, tempo), proposer un format qui permette de faire le lien entre tous les outils pour chacune des familles d'achat.
-
mettre à jour la base de données pièces plastiques (poe) à partir des dernières nominations fournisseur et participer à leur intégration dans l'outil digital achats (tempo / e-costing selon avancement du développement de ces outils)
-
activités annexes : compléter les différentes bases de données (packaging, pièces métalliques?) à partir des derniers sourcings fournisseurs
-
supporter l'équipe des acheteurs avant-projets (a-spm) dans la mise en place de dossiers partagés et / ou d'outils collaboratifs (sharepoint, teams,?)
profil :
vous êtes inscrit(e) en formation bac +4/5 avec une formation avancée sur les outils bureautiques et informatiques en général
?
une base technique serait appréciée notamment au niveau des moules d'injection.
?
vous maîtrisez le pack office avec une bonne connaissance d'excel (macros) et des outils digitaux (background)
?
vous êtes curieux(se), rigoureux(se), force de proposition et à l'aise avec l'anglais oral (b1/b2).
?
vous aimez le travail en équipe et avez un bon esprit d'analyse et de synthèse.",2024-01-05,2024-01-05,https://candidat.pole-emploi.fr/offres/recherche/detail/9117564,M1403,Data analyst,CDD,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,45.924684,5.353415,01,vaux en bugey,data analyst
251,9092651,data analyst,"safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. implanté sur tous les continents, le groupe emploie 83 000 collaborateurs pour un chiffre d'affaires de 19,0 milliards d'euros en 2022, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. safran s'engage dans des programmes de recherche et développement qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.



safran est dans le top 30 des meilleurs employeurs mondiaux 2022 selon le magazine forbes.



safran transmission systems est le leader mondial des systèmes de transmission de puissance mécanique pour les marchés aéronautiques civils et militaires. avec à ce jour plus de 40 000 produits livrés, la société détient 60 % de part de marché sur le segment des avions de plus de 100 places.


descriptif missionau sein du département supply chain safran transmission systems, vous êtes en charge de mettre en oeuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d'organiser, synthétiser et traduire efficacement des données, « les faire parler » et faciliter la prise de décision.



activités principales :

o recueil des besoins clients internes/externes, reformulation et clarification des demandes, pour conseiller sur le choix d'une solution appropriée

o identification des données nécessaires aux analyses des futurs utilisateurs, traitement et les nettoyage afin d'en extraire des informations permettant de répondre à des enjeux spécifiques et faciliter la prise de décision pour le métier

o mise en place des outils de reporting et d'aide à la décision, de la data visualisation grâce à des outils informatiques de mise en forme des données et à de l'analyse statistique",2024-01-05,2024-01-05,https://candidat.pole-emploi.fr/offres/recherche/detail/9092651,H1401,Ingénieur / Ingénieure supply chain en industrie,CDI,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,48.9167,2.25,92,colombes,data analyst
252,167FJYK,data engineer,"elipce informatique tiendra un stand pour vous rencontrer au forum de recrutement « tech job connect » le mercredi 07 février 2024 de 09h30 à 12h30 à la salle agora, 222 av. georges clemenceau, 07500 guilherand-granges.
entrée libre. apportez vos cv et venez-vous faire connaitre !
retrouvez toutes les offres du forum en saisissant le mot-clé dans la barre de recherche d'offres sur pôle emploi.fr : tech job connect

presentation d'elipce :
experte en développement logiciel & data et interprétation métier, elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.

pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. 

nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.

nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.

description du poste : 
au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs si. 

missions principales : 
modéliser, traiter et transformer des données complexes
concevoir une solution de stockage de données (modèle en étoile)
développer des connecteurs ou passerelles de données à l'aide des outils etl (talend)
lire, comprendre et rédiger des documents techniques en lien avec le poste de data architect / data engineer : dictionnaire de données, modélisation merise, uml, matrice de bus
rester à jour et en veille sur les différentes technologies et méthodes liées au poste de data architect / data engineer par le biais de l'auto formation ou la formation professionnelle
des compétences en machine learning / ia au sens large sont appréciées

profil recherché : 
vous êtes data architect et / ou data engineer et / ou data scientist confirmé ou aguerri ? vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche ? vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) ?

le poste est fait pour vous !
vous êtes ou avez été analyste programmeur ? vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. n'hésitez pas à postuler !

qualités requises : 
couteau suisse
organisé, réactif et rigoureux
goût du travail en équipe
etre créatif, avoir le sens de l'innovation
avoir un état d'esprit analytique et de synthèse
force de proposition

bonus :
mutuelle prise en charge à 100%
accord d'intéressement
vélo électrique de fonction (à la demande)
séance de sport en entreprise

vous recherchez un cadre de vie qui allie le bien-être, la nature et la modernité. la drôme, 1er département bio de france, offre cette vie agréable et propice à la détente sous un climat favorable : ensoleillement majeur, montagne, vigne, lavande, etc.  ! vous êtes à 2 h de la mer et des stations alpines",2024-01-05,2024-01-30,https://candidat.pole-emploi.fr/offres/recherche/detail/167FJYK,M1403,Data analyst,CDI,non disponible,Temps plein,Cadre,Programmation informatique,"[{'libelle': 'Français', 'exigence': 'S'}]",non disponible,"[{'libelle': 'B - Véhicule léger', 'exigence': 'S'}]",43.936694,4.845053,84,avignon,data engineer
